Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
Os Delírios de Consumo de Becky Bloom,(2009),"Comedy, Romance",104,5.9,44.28,72.149,38.0,min,M
Coração Louco,(2009),"Drama, Music, Romance",112,7.2,39.46,81.085,83.0,min,M
Matadores de Vampiras Lésbicas,(2009),"Action, Comedy, Fantasy",86,5.1,,19.134,,min,
Alexandria,(2009),"Adventure, Biography, Drama",127,7.2,0.62,62.971,55.0,min,M
Uma Prova de Amor,(2009),"Drama, Family",109,7.4,49.20,86.568,51.0,min,M
Now & Later,(2009),Drama,99,5.1,0.00,1.341,24.0,min,M
Dia dos Namorados Macabro,(2009),"Horror, Mystery, Thriller",101,5.4,51.55,51.910,51.0,min,M
Os Homens que Encaravam Cabras,(2009),"Comedy, War",94,6.2,32.42,123.492,54.0,min,M
Trama Internacional,(I) (2009),"Action, Crime, Drama",118,6.5,25.45,88.479,52.0,min,M
Miss Março: A Garota da Capa,(2009),"Comedy, Romance",90,5.0,4.54,20.279,7.0,min,M
Pelas Garotas e Pela Glória,(2009),"Comedy, Sport",90,6.1,17.23,41.091,31.0,min,M
Killer Bean Forever,(2009),"Animation, Action, Comedy",85,6.3,,2.040,,min,
Aquário,(2009),Drama,123,7.3,0.37,56.104,81.0,min,M
A Rainha do Castelo de Ar,(2009),"Crime, Drama, Thriller",147,7.3,5.19,64.893,60.0,min,M
Confissões de uma Garota de Programa,(2009),Drama,77,5.5,0.70,15.380,66.0,min,M
O Profeta,(2009),"Crime, Drama",155,7.9,2.08,89.660,90.0,min,M
Imagine Só!,(2009),"Comedy, Drama, Family",107,5.6,16.09,12.952,54.0,min,M
Um Sonho de Amor,(2009),"Drama, Romance",120,7.0,5.01,19.065,79.0,min,M
Vício Frenético,(2009),"Crime, Drama",122,6.6,1.70,72.059,69.0,min,M
O Buraco,(2009),"Adventure, Fantasy, Thriller",92,5.7,,21.748,57.0,min,
O Desinformante!,(2009),"Biography, Comedy, Crime",108,6.4,33.31,61.306,66.0,min,M
Maluca Paixão,(2009),"Comedy, Romance",99,4.8,33.86,38.451,17.0,min,M
Black Dynamite,(2009),"Action, Comedy",84,7.4,0.23,44.030,65.0,min,M
Stan Helsing,(2009),"Comedy, Horror",108,3.6,,11.927,,min,
Infestação: Insetos Assassinos,(2009),"Action, Adventure, Comedy",91,5.9,,8.627,,min,
Os Limites do Controle,(2009),"Crime, Drama, Mystery",116,6.3,0.43,18.728,41.0,min,M
Garota Fantástica,(2009),"Drama, Sport",111,6.9,13.04,62.001,68.0,min,M
Jogos Mortais 6,(2009),"Horror, Mystery, Thriller",90,6.0,27.69,96.292,30.0,min,M
Alvin e os Esquilos 2,(2009),"Animation, Comedy, Family",88,4.5,219.61,40.869,41.0,min,M
O Homem Ideal,(2009),"Comedy, Romance",90,5.8,0.10,8.854,47.0,min,M
Cabana do Inferno 2,(2009),Horror,86,4.3,,12.316,,min,
O Amor Acontece,(2009),"Drama, Romance",109,5.6,22.93,29.621,33.0,min,M
Surpresa em Dobro,(I) (2009),"Comedy, Family",88,5.4,49.49,35.107,19.0,min,M
Street Fighter: A Lenda de Chun-Li,(2009),"Action, Crime, Thriller",96,3.7,8.74,22.302,17.0,min,M
Abismo do Medo 2,(2009),"Adventure, Horror, Thriller",94,5.8,,41.399,,min,
Polytechnique,(2009),"Crime, Drama, History",77,7.2,,11.396,63.0,min,
Estão Todos Bem,(2009),Drama,99,7.1,8.86,57.050,47.0,min,M
Doces Problemas,(2009),"Comedy, Drama",92,5.7,,5.738,43.0,min,
Aladin,(2009),"Action, Adventure, Fantasy",132,4.6,,2.569,,min,
Entes Queridos,(2009),"Horror, Thriller",84,6.7,,35.317,,min,
L'affaire Farewell,(2009),"Drama, Romance, Thriller",113,7.0,,6.143,74.0,min,
O Brilho de uma Paixão,(2009),"Biography, Drama, Romance",119,6.9,4.44,24.451,81.0,min,M
Procurando Elly,(2009),"Drama, Mystery, Thriller",119,8.0,0.11,40.372,87.0,min,M
Evocando Espíritos,(2009),"Drama, Horror, Mystery",92,5.9,55.39,57.493,33.0,min,M
Sedução,(I) (2009),"Drama, Thriller",104,6.7,0.02,18.425,54.0,min,M
Santos Justiceiros II - O Retorno,(2009),"Action, Crime, Thriller",118,6.3,10.27,59.717,24.0,min,M
Um Hotel Bom pra Cachorro,(2009),"Comedy, Family",100,5.4,73.03,20.459,51.0,min,M
Maré de Azar,(2009),"Comedy, Crime, Romance",92,6.1,10.81,43.373,61.0,min,M
Força-G,(2009),"Animation, Action, Adventure",88,5.1,119.44,40.486,41.0,min,M
Novidades no Amor,(2009),"Comedy, Romance",95,6.3,,44.939,,min,
Sem Identidade,(2009),"Adventure, Crime, Drama",96,7.6,2.53,30.079,77.0,min,M
Contaminação,(2009),"Horror, Sci-Fi, Thriller",90,5.2,,10.937,,min,
Zumbis na Neve,(2009),"Comedy, Horror",90,6.3,0.04,62.033,61.0,min,M
The Mandalorian Legacy,(2009),Sci-Fi,,6.4,,57,,,
Do Começo ao Fim,(2009),"Drama, Romance",94,6.6,,7.103,,min,
O Desaparecimento de Alice Creed,(2009),"Crime, Thriller",100,6.7,0.17,24.186,65.0,min,M
Johan Falk: GSI - Gruppen för särskilda insatser,(2009),"Action, Crime, Thriller",118,6.9,,3.250,,min,
Escola para Garotas Bonitas e Piradas 2,(2009),"Adventure, Comedy",106,5.4,,7.586,,min,
Cadê os Morgan?,(2009),"Comedy, Drama, Romance",103,4.8,29.58,35.988,27.0,min,M
Jogo Entre Ladrões,(I) (2009),"Action, Crime, Thriller",104,6.0,,32.418,,min,
As Coisas Impossíveis do Amor,(2009),Drama,102,6.3,0.02,18.165,37.0,min,M
Hua Mulan,(2009),"Adventure, Drama, Romance",114,6.8,,5.108,,min,
Abraços Partidos,(2009),"Drama, Romance, Thriller",127,7.2,5.01,36.658,76.0,min,M
Veia de Lutador,(2009),"Action, Crime, Drama",105,5.6,23.04,31.153,61.0,min,M
Cela 211,(2009),"Action, Crime, Drama",113,7.6,,60.948,,min,
Maldito Futebol Clube,(2009),"Biography, Drama, Sport",98,7.5,0.45,39.084,81.0,min,M
Ponto de Partida,(2009),Drama,106,6.3,,13.698,,min,
Às Margens de um Crime,(2009),"Crime, Drama, Mystery",117,6.1,,15.714,,min,
Legend of Siren XX: Diabolic Lust,(2009),"Drama, Horror",78,7.0,,5,,min,
S. Darko: Um Conto de Donnie Darko,(2009),"Mystery, Sci-Fi, Thriller",103,3.6,,12.802,,min,
Trash Humpers,(2009),"Comedy, Drama, Horror",78,5.0,,4.080,33.0,min,
Amor por Contrato,(2009),"Comedy, Drama, Family",96,6.5,1.47,37.359,55.0,min,M
A Pantera Cor de Rosa 2,(2009),"Action, Adventure, Comedy",92,5.6,35.92,40.446,36.0,min,M
Nativity!,(2009),"Comedy, Family",105,6.4,,7.299,,min,
Beautiful Kate,(2009),"Drama, Mystery",100,6.7,,3.234,,min,
Planeta 51,(2009),"Animation, Adventure, Comedy",91,6.0,42.09,48.499,39.0,min,M
Deep in the Valley: Por Dentro do Pornô,(2009),Comedy,96,4.4,,3.152,,min,
Eu Matei Minha Mãe,(2009),"Drama, Romance",96,7.5,,25.647,77.0,min,
Território Restrito,(2009),"Crime, Drama",113,6.7,0.45,22.159,38.0,min,M
Tempo de Crescer,(2009),"Comedy, Drama",110,6.6,0.02,17.629,37.0,min,M
O Mensageiro,(I) (2009),"Drama, Romance, War",113,7.1,0.07,32.957,77.0,min,M
Irmãos de Sangue,(2009),"Comedy, Crime, Drama",105,6.4,0.07,25.955,58.0,min,M
A Última Estação,(2009),"Biography, Drama, Romance",112,7.0,6.62,17.249,76.0,min,M
Rampage: Sede de Vingança,(2009),"Action, Crime, Thriller",85,6.3,,17.605,,min,
Acerto de Contas,(2009),"Action, Crime, Drama",91,6.1,,3.750,,min,
Falando Grego,(2009),"Comedy, Romance",95,5.9,8.66,17.700,34.0,min,M
Uma Viagem ao Mundo das Fábulas,(2009),"Animation, Adventure, Family",71,7.6,0.69,29.222,81.0,min,M
Meu Trabalho é um Parto,(2009),"Comedy, Romance",89,4.8,,10.394,,min,
Aconteceu em Woodstock,(2009),"Biography, Comedy, Drama",120,6.7,7.44,27.642,55.0,min,M
Hooking Up,(II) (2009),"Comedy, Drama",95,2.5,,1.651,,min,
Ninja,(2009),"Action, Crime, Drama",86,5.5,,11.690,,min,
Os Segredos de Tanner Hall,(2009),"Drama, Romance",96,5.8,0.01,3.155,40.0,min,M
A Vida Íntima de Pippa Lee,(2009),"Comedy, Drama, Romance",98,6.4,,12.501,49.0,min,
I.C.U.,(2009),"Horror, Thriller",85,2.5,,461,,min,
Pequenos Invasores,(2009),"Adventure, Comedy, Family",86,5.4,25.20,19.865,42.0,min,M
Tetro,(2009),Drama,127,6.8,0.52,12.097,65.0,min,M
