Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars,Runtime_unit,Gross_unit
Chunyong-ran,(1982),"Action, Drama",95,6.8,,28,,Godfrey Ho,":
Jung-Lee Hwang, 
Ki-Ju Kim, 
Il-shik Jang, 
Yun-Ju Ji
",min,
"First Kiss, First Love",(1982),Romance,100,,,,,Joey Gosiengfiao,":
Snooky Serna, 
Albert Martinez, 
Ada Alberto, 
Opalyn Forster
",min,
Hei yu da tao wang,(1982),"Action, Thriller, War",97,4.8,,6,,Kang Cheng,":
Peng Tien, 
Hui-Shan Yang, 
Pu-Liao Hsu, 
Yun Ling
",min,
Pedring Taruc,(1982),Action,,,,,,Augusto Buenaventura,":
Joseph Estrada, 
Ronaldo Valdez, 
Mario Montenegro, 
Angelo Ventura
",,
Bandipotu Simham,(1982),"Action, Family, Romance",125,5.8,,13,,S.P. Muthuraman,":
Chiranjeevi, 
Madhavi
",min,
Tamozhnya,(1982),Crime,78,5.4,,72,,Aleksandr Muratov,":
Mikhail Boyarskiy, 
Valentin Gaft, 
Vadim Yakovlev, 
Vladimir Eryomin
",min,
Heriuddo,(1982),"Musical, Comedy",85,5.8,,6,,Takafumi Nagamine,":
Kumi Aochi, 
Kenji Endo, 
Mio Hani, 
Takao Ogura
",min,
Pagida stin Ellada,(1982),"Action, Crime",90,6.0,,7,,Andreas Katsimitsoulias,":
Lakis Komninos, 
Elena Nathanail, 
Alkis Giannakas, 
Nikos Vandoros
",min,
Auto Raja,(II) (1982),Drama,110,,,,,K. Vijayan,":
Gayatri, 
Jaishankar, 
Vanitha Krishnachandran, 
V.K. Ramasamy
",min,
Theeradha Vilaiyattu Pillai (1982),(1982),Family,,,,,,Poornima Bhagyaraj,":
Poornima Bhagyaraj, 
Mohan, 
Venniradai Moorthy, 
Silk Smitha
",,
Tensão no Rio,(1982),"Crime, Thriller, Drama",110,6.9,,24,,Gustavo Dahl,":
Eliana Araujo, 
Norma Bengell, 
Raul Cortez, 
Ivan Cândido
",min,
Una sota y un caballo: Rancho Avándaro,(1982),"Comedy, Musical",,3.8,,8,,Rafael Baledón,":
Fernando de la Mora, 
Lilia Michel, 
Rafael Baledón, 
Victoria Ruffo
",,
Xue jian gui xiang lu,(1982),Action,86,,,,,Ao-Hsin Chin,":
Sylvia Chang, 
Chun-Hsiung Ko, 
Hung-Chi Chang, 
Wei Chang
",min,
First Fruits,(1982),"Drama, History",66,6.3,,13,,Dan Neidermyer,":
Richard Foster, 
Todd Hoagey, 
Dan Neidermyer, 
Luther David
",min,
Kördügüm,(1982),Drama,84,5.0,,41,,Osman F. Seden,":
Orhan Gencebay, 
Gülsen Bubikoglu, 
Giray Alpan, 
Hüseyin Baradan
",min,
Die schöne Gefangene,(1982),,,,,,,Raoul Servais," Director:
Raoul Servais
",,
Hindi kita malimot,(1982),"Comedy, Drama, Romance",,,,,,Ishmael Bernal,":
Maricel Soriano, 
William Martinez, 
Alicia Alonzo, 
Rosemarie Gil
",,
Xie qi bian,(1982),"Action, Adventure",88,6.2,,6,,Raymond Lui,":
Tony Liu, 
Li Ching, 
Norman Chu, 
Kuan-Chun Chi
",min,
Djecak je isao za suncem,(1982),Drama,94,6.2,,12,,Branislav Bastac,":
Aleksandar Jablan, 
Djordje Jelisic, 
Veljko Mandic, 
Vojislav Miric
",min,
