Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Ruas da Liberdade,(1999),"
Drama, Music, Romance            ",127 min,7.0,$3.73M,"6,224",75        ,Barry Levinson,":
Adrien Brody, 
Bebe Neuwirth, 
Joe Mantegna, 
Ben Foster
"
Contragolpe,(1999),"
Crime, Drama            ",93 min,6.1,,"2,255",,Scott Sanders,":
Mark Adair-Rios, 
Khandi Alexander, 
Erich Anderson, 
Cecil 'Shuckey Duckey' Armstrong
"
Mod Squad: O Filme,(1999),"
Action, Crime, Thriller            ",92 min,4.3,$13.26M,"8,462",16        ,Scott Silver,":
Claire Danes, 
Omar Epps, 
Giovanni Ribisi, 
Dennis Farina
"
Pig - Uma Aventura Animal,(1999),"
Comedy, Family, Fantasy            ",92 min,4.0,,"1,300",,Erik Fleming,":
Scarlett Johansson, 
Eva Mendes, 
Judge Reinhold, 
Romy Windsor
"
Truques da Paquera,(1999),"
Comedy, Music, Romance            ",89 min,7.2,$2.05M,"7,912",,Jim Fall,":
Christian Campbell, 
John Paul Pitoc, 
Tori Spelling, 
Brad Beyer
"
O Guerreiro da Paz,(1999),"
Biography, Drama, Western            ",118 min,6.0,$0.63M,"3,257",,Richard Attenborough,":
Pierce Brosnan, 
Stewart Bick, 
Vlasta Vrana, 
Annie Galipeau
"
A Seita,(1999),"
Drama, Horror, Mystery            ",102 min,5.9,,"6,813",,Jaume Balagueró,":
Emma Vilarasau, 
Karra Elejalde, 
Tristán Ulloa, 
Toni Sevilla
"
Rosetta,(1999),"
Drama            ",95 min,7.5,$0.26M,"11,927",76        ,Jean-Pierre Dardenne,":
Émilie Dequenne, 
Fabrizio Rongione, 
Anne Yernaux, 
Olivier Gourmet
"
A Humanidade,(1999),"
Drama, Mystery            ",141 min,6.9,$0.11M,"3,688",77        ,Bruno Dumont,":
Emmanuel Schotté, 
Séverine Caneele, 
Philippe Tullier, 
Ghislain Ghesquère
"
Assassinas em Fuga,(1999),"
Comedy, Crime, Drama            ",97 min,5.7,,"2,589",,Matthew Bright,":
Natasha Lyonne, 
María Celedonio, 
David Alan Grier, 
Vincent Gallo
"
Achados & Perdidos,(I) (1999),"
Comedy, Romance            ",100 min,5.0,$6.55M,"6,087",19        ,Jeff Pollack,":
David Spade, 
Sophie Marceau, 
Ever Carradine, 
Stephanie Chang
"
Segura a Onda,(1999),"
Comedy            ",89 min,5.2,$4.69M,"3,342",21        ,Steve Rash,":
Jamie Foxx, 
Nia Long, 
Barry Corbin, 
John Cullum
"
A Garota Sobre a Ponte,(1999),"
Comedy, Drama, Romance            ",90 min,7.6,$1.71M,"12,704",75        ,Patrice Leconte,":
Vanessa Paradis, 
Daniel Auteuil, 
Frédéric Pfluger, 
Dimitris Georgalas
"
Caminhando com Leões,(1999),"
Adventure, Biography, Drama            ",110 min,6.9,,765,,Carl Schultz,":
Richard Harris, 
John Michie, 
Kerry Fox, 
Ian Bannen
"
Web of Seduction,(1999),"
Drama, Mystery, Thriller            ",87 min,5.3,,285,,Blain Brown,":
Lauren Hays, 
Eric Acsell, 
Tracy Ryan, 
Stephan Camus
"
Marcas da Vingança,(1999),"
Crime, Drama, Romance            ",115 min,5.3,,"2,175",44        ,Paul Schrader,":
Joseph Fiennes, 
Ray Liotta, 
Gretchen Mol, 
Vincent Laresca
"
Polícia Desmontada,(1999),"
Comedy, Family, Romance            ",77 min,3.9,$9.69M,"9,332",44        ,Hugh Wilson,":
Brendan Fraser, 
Sarah Jessica Parker, 
Alfred Molina, 
Eric Idle
"
