Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Sherlock & Eu,(1988),"
Comedy, Crime, Mystery            ",107 min,7.0,$8.54M,"8,940",
Encontro Marcado com a Morte,(1988),"
Crime, Drama, Mystery            ",102 min,6.2,$0.96M,"3,449",
Força Demoníaca,(1988),"
Comedy, Horror            ",92 min,5.1,$2.96M,"4,437",
O Feitiço das Almas,(1988),"
Horror            ",95 min,4.3,,"1,564",
Um Tira do Outro Mundo,(1988),"
Action, Comedy, Horror            ",86 min,6.1,$3.59M,"6,070",
Afogando em Números,(1988),"
Comedy, Drama            ",118 min,7.2,$0.42M,"7,647",
Primeiro Verão de Amor,(1988),"
Drama, Romance            ",106 min,5.9,,418,
O Jovem Einstein,(1988),"
Comedy, History            ",91 min,5.2,$11.54M,"8,158",
Conflito Mortal,(1988),"
Crime, Drama, Romance            ",102 min,7.0,$0.01M,"7,582",
Inocente ou Culpado?,(1988),"
Crime, Drama, Thriller            ",117 min,5.7,$9.97M,"3,351",
Uma Questão de Escolha,(1988),"
Comedy            ",81 min,5.7,$0.34M,590,
"Phoenix, a Guerreira",(1988),"
Action, Sci-Fi            ",89 min,3.7,,680,
Buster - Procura-se um Ladrão,(1988),"
Comedy, Crime, Drama            ",91 min,5.8,$0.54M,"3,097",
Braddock 3: O Resgate,(1988),"
Action, War            ",101 min,4.9,$6.19M,"5,408",
Espiões sem Rosto,(1988),"
Drama, Thriller            ",98 min,6.0,$1.73M,"4,688",
A Fera da Guerra,(1988),"
Adventure, Drama, War            ",111 min,7.3,$0.16M,"8,292",
O Cérebro,(1988),"
Horror, Sci-Fi            ",94 min,5.4,,"1,586",
Police Story 2: Codinome Radical,(1988),"
Action, Comedy, Crime            ",101 min,7.1,,"15,784",68        
1969 - O Ano que Mudou Nossas Vidas,(1988),"
Drama, War            ",95 min,5.8,$5.98M,"3,438",
Marcas de Um Passado,(1988),"
Drama            ",124 min,6.7,$8.67M,"5,339",
Vice-Versa,(1988),"
Comedy, Fantasy            ",98 min,5.9,$13.66M,"8,860",
Ritual de Sangue,(1988),"
Action, Crime, Drama            ",103 min,5.1,$0.43M,984,
A Outra,(1988),"
Drama            ",81 min,7.3,$1.56M,"12,157",
Vampiro das Estrelas,(1988),"
Comedy, Horror, Sci-Fi            ",81 min,4.8,$0.11M,"2,035",
A Casa dos Sonhos,(1988),"
Drama, Fantasy            ",92 min,6.7,$0.24M,"5,166",
Salaam Bombay!,(1988),"
Crime, Drama            ",113 min,8.0,$2.08M,"7,956",78        
Em Pânico,(1988),"
Horror, Thriller            ",90 min,5.4,,"1,187",
A Última Dança de Salomé,(1988),"
Biography, Comedy, Drama            ",89 min,6.5,$0.33M,"1,330",
O Herói e o Terror,(1988),"
Action, Crime, Drama            ",96 min,5.3,$5.30M,"3,169",
Não Matarás,(1988),"
Crime, Drama            ",84 min,8.1,,"15,515",
Um Tira Implacável,(1988),"
Action, Crime, Drama            ",97 min,6.0,$10.07M,"2,600",
Chance de Vencer,(1988),"
Crime, Drama, Romance            ",115 min,5.9,,"2,098",
O Natal Maluco de Ernest,(1988),"
Comedy, Family, Fantasy            ",95 min,5.6,$28.20M,"9,651",44        
Pee-Wee: Meu Filme Circense,(1988),"
Adventure, Comedy, Romance            ",86 min,5.0,$15.12M,"8,340",
Vibes: Boas Vibrações,(1988),"
Adventure, Comedy, Romance            ",99 min,5.7,$1.88M,"3,160",
Um Pedido Especial,(1988),"
Comedy, Fantasy, Romance            ",93 min,5.8,$2.57M,"4,000",
Danação,(1988),"
Crime, Drama, Romance            ",120 min,7.8,,"4,684",
O Coração de Clara,(1988),"
Drama            ",108 min,6.3,$5.19M,"2,017",
Rebelião em Milagro,(1988),"
Comedy, Drama, Fantasy            ",117 min,6.8,$13.83M,"5,717",
Uma Criança por Testemunha,(1988),"
Crime, Thriller            ",86 min,6.4,,"1,806",
Uma Noite com o Rei do Rock,(1988),"
Comedy, Musical, Romance            ",97 min,5.7,$5.51M,"1,143",
O Beijo Mortal,(1988),"
Drama, Fantasy, Horror            ",101 min,5.5,$1.87M,"1,421",
O Sequestro de Patty Hearst,(1988),"
Biography, Drama            ",108 min,6.2,$1.22M,"1,273",62        
Bat 21: Missão no Inferno,(1988),"
Drama, War            ",105 min,6.5,$3.97M,"7,544",58        
O Rochedo de Gibraltar,(1988),"
Drama            ",99 min,6.6,$0.19M,"1,724",
E Deus Criou a Mulher,(1988),"
Comedy, Drama, Romance            ",100 min,4.3,$0.72M,"1,650",
Essa Estranha Atração,(1988),"
Comedy, Drama, Romance            ",114 min,7.7,$4.87M,"6,429",
Amor à Segunda Vista,(1988),"
Comedy, Romance            ",97 min,6.9,$16.26M,"3,415",
Paisagem na Neblina,(1988),"
Drama            ",127 min,8.0,,"6,328",
