Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Director,Stars
Fu cheng mi shi,(2012),"
Crime, Drama            ",98 min,6.5,,901,,Ye Lou,":
Lei Hao, 
Hao Qin, 
Xi Qi, 
Feng Zu
"
The Eye of the Storm,(2011),"
Drama            ",114 min,6.1,$0.08M,"1,469",55        ,Fred Schepisi,":
Charlotte Rampling, 
Maria Theodorakis, 
Geoffrey Rush, 
Jamie Timony
"
7 gwanggu,(2011),"
Action, Sci-Fi            ",101 min,4.6,,"2,161",,Ji-hoon Kim,":
Ji-won Ha, 
Sung-Ki Ahn, 
Ji-Ho Oh, 
Ye-ryeon Cha
"
Girlfriend,(2010),"
Drama            ",94 min,6.2,,633,42        ,Justin Lerner,":
Shannon Woodward, 
Jackson Rathbone, 
Amanda Plummer, 
Evan Sneider
"
A Maldição de Helena,(2012),"
Horror, Thriller            ",84 min,4.7,,"2,941",,Christian Bisceglia,":
Harriet MacMasters-Green, 
Sabrina Jolie Perez, 
Jarreth J. Merz, 
Matt Patresi
"
Empress Vampire,(2012),"
Action, Fantasy, Horror            ",89 min,3.1,,110,,Phil Condit,":
Ange Maya, 
Tom Cochran, 
Beau Nelson, 
Laura Cotenescu
"
Vorood-e-Aghayan Mamnoo,(2011),"
Comedy, Drama, Romance            ",102 min,6.8,,"4,958",,Rambod Javan,":
Reza Attaran, 
Vishka Asayesh, 
Pegah Ahangarani, 
Mani Haghighi
"
Pausa para um Assassinato,(2011),"
Thriller            ",91 min,5.1,,"1,160",,Jérôme Le Gris,":
Mélanie Laurent, 
Clovis Cornillac, 
Tchéky Karyo, 
Xavier Gallais
"
Yüregine Sor,(2010),"
Drama, Romance            ",115 min,6.1,,730,,Yusuf Kurçenli,":
Tuba Büyüküstün, 
Kenan Ece, 
Hakan Eratik, 
Melek Akarsu
"
Nokas,(2010),"
Action, Biography, Crime            ",87 min,6.5,,"4,012",,Erik Skjoldbjærg,":
Marit Synnøve Berg, 
Frode Winther, 
Morten Larsen, 
Tov Sletta
"
The Cohasset Snuff Film,(2012),"
Crime, Horror, Thriller            ",85 min,4.9,,530,,Edward Payson,":
Bill Shafer, 
Chad Addison, 
Stu Berg, 
Becky T. Bordo
"
Freight,(2010),"
Action, Crime, Drama            ",92 min,4.1,,695,,Stuart St. Paul,":
Billy Murray, 
Craig Fairbrass, 
Laura Aikman, 
Sam Kennard
"
Menculik Miyabi,(2010),"
Action, Comedy, Romance            ",85 min,3.5,,133,,Findo Purwono,":
Maria Ozawa, 
Nicky Tirta, 
Herfiza Novianti, 
Alessia Cestaro
"
The Reverend,(2011),"
Horror            ",98 min,4.1,,373,,Neil Jones,":
Rutger Hauer, 
Doug Bradley, 
Tamer Hassan, 
Emily Booth
"
Adventures Into the Woods: A Sexy Musical,(2012),"
Comedy, Fantasy, Musical            ",100 min,4.3,,115,,Rolfe Kanefsky,":
Rolfe Kanefsky, 
Allie Haze, 
Ron Jeremy, 
Jason Sarcinelli
"
Nobels testamente,(2012),"
Drama, Mystery, Thriller            ",90 min,5.9,,"2,557",,Peter Flinth,":
Malin Crépin, 
Björn Kjellman, 
Leif Andrée, 
Kajsa Ernst
"
Românticos Anônimos,(2010),"
Comedy, Romance            ",80 min,6.9,,"10,171",69        ,Jean-Pierre Améris,":
Benoît Poelvoorde, 
Isabelle Carré, 
Lorella Cravotta, 
Lise Lamétrie
"
ATM: Er Rak Error,(2012),"
Comedy, Romance            ",123 min,7.2,,"1,873",,Mez Tharatorn,":
Chantavit Dhanasevi, 
Preechaya Pongthananikorn, 
Anna Chuancheun, 
Pongsatorn Jongwilak
"
A Wife Alone,(2012),"
Crime, Thriller            ",69 min,4.4,,73,,Justin Reichman,":
Bob Adrian, 
Alesandra Assante, 
Mark Blum, 
Chris Clark
"
Les coquillettes,(2012),"
Comedy, Drama            ",75 min,4.9,,206,58        ,Sophie Letourneur,":
Camille Genaud, 
Carole Le Page, 
Sophie Letourneur, 
Julien Gester
"
Omae umasoudana,(2010),"
Animation, Action, Adventure            ",89 min,7.3,,570,,Masaya Fujimori,":
Tetsuya Bessho, 
Tomoyo Harada, 
Seishirô Katô, 
Kappei Yamaguchi
"
Lafangey Parindey,(2010),"
Action, Drama, Romance            ",126 min,5.2,,"1,922",,Pradeep Sarkar,":
Neil Nitin Mukesh, 
Deepika Padukone, 
Vijay Adhav, 
Manish Chaudhary
"
Ramayana: The Epic,(2010),"
Animation, Adventure, Family            ",98 min,5.9,,381,,Chetan Desai,":
Manoj Bajpayee, 
Juhi Chawla, 
Ashutosh Rana, 
Mukesh Rishi
"
Alles is familie,(2012),"
Comedy, Drama, Romance            ",132 min,6.6,,"3,974",,Joram Lürsen,":
Carice van Houten, 
Thijs Römer, 
Benja Bruijning, 
Jacob Derwig
"
Simon och ekarna,(2011),"
Drama            ",122 min,6.5,$0.15M,"2,720",62        ,Lisa Ohlin,":
Bill Skarsgård, 
Helen Sjöholm, 
Jan Josef Liefers, 
Stefan Gödicke
"
Het bombardement,(2012),"
Drama, History, War            ",105 min,4.0,,"1,582",,Ate de Jong,":
Jan Smit, 
Roos van Erkel, 
Mike Weerts, 
Monic Hendrickx
"
Hunter Prey,(2010),"
Sci-Fi, Thriller            ",88 min,5.8,,"5,772",,Sandy Collora,":
Clark Bartram, 
Damion Poitier, 
Isaac C. Singleton Jr., 
Sandy Collora
"
Ways to Live Forever,(2010),"
Drama, Family            ",90 min,7.0,,979,59        ,Gustavo Ron,":
Ben Chaplin, 
Robbie Kay, 
Alex Etel, 
Emilia Fox
"
Catch Me... I'm in Love,(2011),"
Comedy, Drama, Romance            ",110 min,5.7,,158,,Mae Czarina Cruz,":
Sarah Geronimo, 
Gerald Anderson, 
Matteo Guidicelli, 
Christopher De Leon
"
Antfarm Dickhole,(2011),"
Horror            ",85 min,2.6,,342,,Bill Zebub,":
Mike Nastri, 
Jessica Mazo, 
Bill Zebub, 
Adam Kuligowski
"
Dan sun nam lui,(2011),"
Romance            ",115 min,6.5,,"1,451",,Johnnie To,":
Louis Koo, 
Yuanyuan Gao, 
Daniel Wu, 
Hin-Wai Au
"
Un balcon sur la mer,(2010),"
Drama, Mystery, Romance            ",95 min,6.2,,"1,260",,Nicole Garcia,":
Jean Dujardin, 
Marie-Josée Croze, 
Toni Servillo, 
Sandrine Kiberlain
"
Kvinden der drømte om en mand,(2010),"
Drama, Romance            ",100 min,5.0,,796,,Per Fly,":
Sonja Richter, 
Marcin Dorocinski, 
Michael Nyqvist, 
Alberte Blichfeldt
"
War of the Worlds: Goliath,(2012),"
Animation, Action, Adventure            ",85 min,5.4,$0.01M,"1,049",33        ,Joe Pearson,":
Adam Baldwin, 
Beau Billingslea, 
Kim Buckingham, 
Jim Byrnes
"
Refúgios,(2011),"
Fantasy, Thriller            ",88 min,6.2,,"2,598",,Agnès Merlet,":
Rachel Hurd-Wood, 
Harry Treadaway, 
Thomas Brodie-Sangster, 
Susan Lynch
"
Black Pond,(2011),"
Comedy, Drama, Thriller            ",83 min,6.0,,832,,Tom Kingsley,":
Chris Langham, 
Simon Amstell, 
Amanda Hadingue, 
Colin Hurley
"
Brotherhood,(I) (2010),"
Crime, Drama, Thriller            ",76 min,6.4,,"3,837",52        ,Will Canon,":
Trevor Morgan, 
Lou Taylor Pucci, 
Arlen Escarpeta, 
Jon Foster
"
The Zone,(2011),"
Drama            ",70 min,4.9,,143,,Joe Swanberg,":
Kentucker Audley, 
Dustin Guy Defa, 
Lawrence Michael Levine, 
Kris Rey
"
Liefling,(2010),"
Musical            ",114 min,6.4,,97,,Brian Webber,":
Lika Berning, 
Bobby van Jaarsveld, 
Elize Cawood, 
Rouel Beukes
"
Peepli (Live),(2010),"
Comedy, Drama            ",95 min,7.4,$0.75M,"11,269",69        ,Anusha Rizvi,":
Omkar Das Manikpuri, 
Raghuvir Yadav, 
Shalini Vatsa, 
Farrukh Jaffar
"
Mappillai,(2011),"
Action            ",160 min,3.0,,520,,Suraj,":
Dhanush, 
Hansika Motwani, 
Manisha Koirala, 
Vivek
"
Les adoptés,(2011),"
Drama            ",100 min,6.8,,"1,408",,Mélanie Laurent,":
Marie Denarnaud, 
Denis Ménochet, 
Clémentine Célarié, 
Mélanie Laurent
"
Pusher,(2010),"
Action, Crime, Drama            ",107 min,6.1,,606,,Assad Raja,":
Assad Raja, 
Mahima Chaudhry, 
Marc Anwar, 
Pasha Bocarie
"
Portraits in Dramatic Time,(2011),"
Drama            ",,7.2,,127,,David Michalek,":
William H. Macy, 
Holly Hunter, 
Liev Schreiber, 
Alison Pill
"
Pássaros de Papel,(2010),"
Comedy, Drama, History            ",122 min,7.0,,680,,Emilio Aragón,":
Imanol Arias, 
Lluís Homar, 
Roger Príncep, 
Carmen Machi
"
Yossi,(2012),"
Drama, Romance            ",84 min,7.0,$0.12M,"2,721",66        ,Eytan Fox,":
Ohad Knoller, 
Shlomo Sadan, 
Oz Zehavi, 
Lior Ashkenazi
"
